t_s,Ia,Ib,Ic,Vdc,theta,enc_angle
1774332906.961266,-0.54000,0.49000,0.05000,23.94000,1.34950,0.00070
1774332906.961266,-0.60000,0.55000,0.04000,23.96000,1.41230,0.00070
1774332906.961266,-0.62000,0.58000,0.04000,23.94000,1.47520,0.00070
1774332906.961266,-0.66000,0.62000,0.03000,23.94000,1.53800,0.00070
1774332906.961266,-0.66000,0.63000,0.03000,23.94000,1.60080,0.00070
1774332906.961266,-0.66000,0.64000,0.02000,23.94000,1.66370,0.00070
1774332906.961266,-0.64000,0.63000,0.01000,23.94000,1.72650,0.00070
1774332906.961266,-0.62000,0.61000,0.00000,23.93000,1.78930,0.00070
1774332906.961266,-0.59000,0.60000,-0.01000,23.94000,1.85220,0.00070
1774332906.961266,-0.54000,0.57000,-0.02000,23.94000,1.91500,0.00070
1774332906.961266,-0.47000,0.52000,-0.04000,23.93000,1.97780,0.00070
1774332906.961266,-0.37000,0.51000,-0.14000,23.94000,2.04070,0.00070
1774332906.961266,-0.26000,0.52000,-0.25000,23.94000,2.10350,0.00070
1774332906.961266,-0.17000,0.52000,-0.35000,23.94000,2.16630,0.00070
1774332906.961266,-0.07000,0.50000,-0.43000,23.96000,2.22920,0.00070
1774332906.961266,-0.05000,0.52000,-0.47000,23.94000,2.29200,0.00070
1774332907.001379,-0.04000,0.54000,-0.49000,23.94000,2.35480,0.00070
1774332907.001379,-0.03000,0.56000,-0.52000,23.94000,2.41770,0.00070
1774332907.001379,-0.02000,0.57000,-0.55000,23.94000,2.48050,0.00070
1774332907.001379,-0.02000,0.59000,-0.57000,23.94000,2.54330,0.00070
1774332907.001379,-0.01000,0.61000,-0.59000,23.94000,2.60620,0.00070
1774332907.001379,-0.01000,0.61000,-0.60000,23.94000,2.66900,0.00070
1774332907.001379,0.00000,0.62000,-0.61000,23.94000,2.73180,0.00070
1774332907.001379,0.00000,0.61000,-0.61000,23.94000,2.79470,0.00070
1774332907.001379,0.00000,0.59000,-0.60000,23.94000,2.85750,0.00070
1774332907.001379,0.01000,0.56000,-0.57000,23.94000,2.92030,0.00070
1774332907.001379,0.00000,0.53000,-0.54000,23.93000,2.98320,0.00070
1774332907.001379,0.04000,0.47000,-0.51000,23.94000,3.04600,0.00070
1774332907.001379,0.14000,0.36000,-0.51000,23.94000,3.10880,0.00070
1774332907.001379,0.25000,0.25000,-0.51000,23.94000,3.17170,0.00070
1774332907.001379,0.33000,0.15000,-0.48000,23.94000,3.23450,0.00070
1774332907.001379,0.41000,0.05000,-0.47000,23.94000,3.29730,0.00070
1774332907.001379,0.43000,0.02000,-0.46000,23.96000,3.36020,0.00070
1774332907.001379,0.45000,0.02000,-0.47000,23.94000,3.42300,0.00070
1774332907.001379,0.43000,0.02000,-0.46000,23.94000,3.48580,0.00070
1774332907.001379,0.42000,0.03000,-0.45000,23.94000,3.54870,0.00070
1774332907.001379,0.41000,0.03000,-0.44000,23.94000,3.61150,0.00070
1774332907.001379,0.41000,0.04000,-0.45000,23.94000,3.67430,0.00070
1774332907.001379,0.42000,0.04000,-0.46000,23.94000,3.73720,0.00070
1774332907.001379,0.45000,0.03000,-0.48000,23.94000,3.80000,0.00070
1774332907.001379,0.47000,0.02000,-0.50000,23.94000,3.86280,0.00070
1774332907.001379,0.49000,0.01000,-0.51000,23.94000,3.92560,0.00070
1774332907.001379,0.49000,0.00000,-0.50000,23.94000,3.98850,0.00070
1774332907.001379,0.48000,0.00000,-0.47000,23.94000,4.05130,0.00070
1774332907.001379,0.45000,-0.01000,-0.44000,23.94000,4.11410,0.00070
1774332907.001379,0.42000,-0.02000,-0.39000,23.96000,4.17700,0.00070
1774332907.001379,0.41000,-0.08000,-0.32000,23.96000,4.23980,0.00070
1774332907.001379,0.40000,-0.16000,-0.24000,23.94000,4.30260,0.00070
1774332907.016997,0.41000,-0.24000,-0.16000,23.96000,4.36550,0.00070
1774332907.016997,0.42000,-0.34000,-0.08000,23.94000,4.42830,0.00070
1774332907.016997,0.47000,-0.40000,-0.06000,23.94000,4.49110,0.00070
1774332907.016997,0.53000,-0.47000,-0.05000,23.96000,4.55390,0.00070
1774332907.016997,0.57000,-0.52000,-0.04000,23.93000,4.61680,0.00070
1774332907.016997,0.62000,-0.58000,-0.03000,23.94000,4.67960,0.00070
1774332907.016997,0.65000,-0.62000,-0.02000,23.94000,4.74240,0.00070
1774332907.016997,0.69000,-0.66000,-0.02000,23.94000,4.80520,0.00070
1774332907.016997,0.68000,-0.66000,-0.02000,23.94000,4.86810,0.00070
1774332907.016997,0.68000,-0.67000,-0.01000,23.94000,4.93090,0.00070
1774332907.016997,0.63000,-0.63000,0.00000,23.94000,4.99370,0.00070
1774332907.016997,0.56000,-0.57000,0.01000,23.94000,5.05660,0.00070
1774332907.016997,0.45000,-0.52000,0.06000,23.94000,5.11940,0.00070
1774332907.016997,0.31000,-0.51000,0.20000,23.94000,5.18220,0.00070
1774332907.016997,0.19000,-0.53000,0.34000,23.93000,5.24500,0.00070
1774332907.016997,0.10000,-0.54000,0.43000,23.94000,5.30790,0.00070
1774332907.033996,0.04000,-0.54000,0.49000,23.94000,5.37070,0.00070
1774332907.033996,0.02000,-0.54000,0.52000,23.94000,5.43350,0.00070
1774332907.033996,0.02000,-0.55000,0.53000,23.94000,5.49640,0.00070
1774332907.033996,0.02000,-0.57000,0.55000,23.94000,5.55920,0.00070
1774332907.033996,0.02000,-0.59000,0.57000,23.96000,5.62200,0.00070
1774332907.033996,0.02000,-0.62000,0.59000,23.94000,5.68480,0.00070
1774332907.033996,0.02000,-0.62000,0.60000,23.94000,5.74770,0.00070
1774332907.033996,0.02000,-0.63000,0.60000,23.94000,5.81050,0.00070
1774332907.033996,0.01000,-0.62000,0.60000,23.96000,5.87330,0.00070
1774332907.033996,0.01000,-0.61000,0.60000,23.94000,5.93620,0.00070
1774332907.033996,0.00000,-0.59000,0.59000,23.94000,5.99900,0.00070
1774332907.033996,-0.01000,-0.55000,0.57000,23.94000,6.06180,0.00070
1774332907.033996,-0.02000,-0.51000,0.54000,23.94000,6.12460,0.00070
1774332907.033996,-0.03000,-0.47000,0.50000,23.94000,6.18750,0.00070
1774332907.033996,-0.12000,-0.37000,0.50000,23.96000,6.25030,0.00070
1774332907.033996,-0.23000,-0.26000,0.50000,23.94000,0.02990,0.00070
1774332907.042003,-0.32000,-0.15000,0.47000,23.94000,0.09280,0.00070
1774332907.042003,-0.40000,-0.05000,0.46000,23.96000,0.15560,0.00070
1774332907.042003,-0.42000,-0.04000,0.47000,23.94000,0.21840,0.00070
1774332907.042003,-0.44000,-0.03000,0.47000,23.94000,0.28130,0.00070
1774332907.042003,-0.43000,-0.02000,0.45000,23.93000,0.34410,0.00070
1774332907.042003,-0.42000,-0.01000,0.43000,23.93000,0.40690,0.00070
1774332907.042003,-0.40000,-0.01000,0.41000,23.94000,0.46980,0.00070
1774332907.042003,-0.38000,-0.01000,0.40000,23.94000,0.53260,0.00070
1774332907.042003,-0.39000,-0.02000,0.42000,23.93000,0.59540,0.00070
1774332907.042003,-0.42000,-0.02000,0.44000,23.96000,0.65830,0.00070
1774332907.042003,-0.45000,-0.02000,0.47000,23.94000,0.72110,0.00070
1774332907.042003,-0.47000,-0.02000,0.50000,23.94000,0.78390,0.00070
1774332907.042003,-0.47000,-0.02000,0.50000,23.94000,0.84670,0.00070
1774332907.042003,-0.47000,-0.01000,0.49000,23.94000,0.90960,0.00070
1774332907.042003,-0.44000,0.00000,0.45000,23.94000,0.97240,0.00070
1774332907.042003,-0.42000,0.02000,0.40000,23.94000,1.03520,0.00070
1774332907.079486,-0.40000,0.08000,0.32000,23.94000,1.09810,0.00070
1774332907.079486,-0.40000,0.17000,0.23000,23.94000,1.16090,0.00070
1774332907.079486,-0.41000,0.26000,0.15000,23.94000,1.22370,0.00070
1774332907.079486,-0.42000,0.35000,0.06000,23.96000,1.28660,0.00070
1774332907.079486,-0.46000,0.40000,0.05000,23.93000,1.34940,0.00070
1774332907.079486,-0.53000,0.47000,0.05000,23.93000,1.41220,0.00070
1774332907.079486,-0.57000,0.52000,0.05000,23.94000,1.47510,0.00070
1774332907.079486,-0.62000,0.57000,0.04000,23.93000,1.53790,0.00070
1774332907.079486,-0.66000,0.61000,0.04000,23.94000,1.60070,0.00070
1774332907.079486,-0.67000,0.64000,0.03000,23.93000,1.66360,0.00070
1774332907.079486,-0.67000,0.64000,0.02000,23.94000,1.72640,0.00070
1774332907.079486,-0.66000,0.64000,0.01000,23.94000,1.78920,0.00070
1774332907.079486,-0.64000,0.64000,0.00000,23.94000,1.85210,0.00070
1774332907.079486,-0.60000,0.61000,-0.01000,23.94000,1.91490,0.00070
1774332907.079486,-0.54000,0.57000,-0.03000,23.93000,1.97770,0.00070
1774332907.079486,-0.44000,0.53000,-0.08000,23.96000,2.04060,0.00070
1774332907.079486,-0.32000,0.53000,-0.20000,23.96000,2.10340,0.00070
1774332907.079486,-0.20000,0.53000,-0.32000,23.94000,2.16620,0.00070
1774332907.079486,-0.10000,0.53000,-0.42000,23.94000,2.22910,0.00070
1774332907.079486,-0.05000,0.54000,-0.48000,23.94000,2.29190,0.00070
1774332907.079486,-0.05000,0.57000,-0.52000,23.94000,2.35470,0.00070
1774332907.079486,-0.03000,0.59000,-0.56000,23.94000,2.41760,0.00070
1774332907.080487,-0.02000,0.62000,-0.60000,23.94000,2.48040,0.00070
1774332907.080487,-0.01000,0.64000,-0.63000,23.94000,2.54320,0.00070
1774332907.080487,0.00000,0.64000,-0.64000,23.96000,2.60610,0.00070
1774332907.080487,0.00000,0.65000,-0.65000,23.93000,2.66890,0.00070
1774332907.080487,0.00000,0.63000,-0.64000,23.94000,2.73170,0.00070
1774332907.080487,0.00000,0.63000,-0.64000,23.94000,2.79460,0.00070
1774332907.080487,0.01000,0.60000,-0.61000,23.94000,2.85740,0.00070
1774332907.080487,0.01000,0.56000,-0.58000,23.94000,2.92020,0.00070
1774332907.080487,0.03000,0.52000,-0.55000,23.94000,2.98310,0.00070
1774332907.080487,0.08000,0.45000,-0.54000,23.94000,3.04590,0.00070
1774332907.089523,0.19000,0.35000,-0.54000,23.94000,3.10870,0.00070
1774332907.089523,0.29000,0.24000,-0.54000,23.94000,3.17160,0.00070
1774332907.089523,0.37000,0.13000,-0.51000,23.94000,3.23440,0.00070
1774332907.089523,0.44000,0.05000,-0.50000,23.94000,3.29720,0.00070
1774332907.089523,0.46000,0.02000,-0.49000,23.96000,3.36010,0.00070
1774332907.089523,0.47000,0.02000,-0.50000,23.94000,3.42290,0.00070
1774332907.089523,0.47000,0.02000,-0.49000,23.94000,3.48570,0.00070
1774332907.089523,0.47000,0.02000,-0.49000,23.94000,3.54860,0.00070
1774332907.089523,0.46000,0.02000,-0.49000,23.94000,3.61140,0.00070
1774332907.089523,0.44000,0.03000,-0.47000,23.94000,3.67420,0.00070
1774332907.089523,0.43000,0.02000,-0.46000,23.94000,3.73710,0.00070
1774332907.089523,0.41000,0.02000,-0.43000,23.96000,3.79990,0.00070
1774332907.089523,0.42000,0.01000,-0.44000,23.94000,3.86270,0.00070
1774332907.089523,0.42000,0.01000,-0.44000,23.94000,3.92560,0.00070
1774332907.089523,0.42000,0.00000,-0.43000,23.96000,3.98840,0.00070
1774332907.089523,0.43000,0.00000,-0.43000,23.94000,4.05120,0.00070
1774332907.107027,0.41000,0.00000,-0.40000,23.94000,4.11400,0.00070
1774332907.107027,0.39000,-0.02000,-0.37000,23.94000,4.17690,0.00070
1774332907.107027,0.40000,-0.13000,-0.26000,23.93000,4.23970,0.00070
1774332907.107027,0.40000,-0.24000,-0.16000,23.94000,4.30250,0.00070
1774332907.107027,0.38000,-0.30000,-0.07000,23.94000,4.36540,0.00070
1774332907.107027,0.38000,-0.32000,-0.05000,23.94000,4.42820,0.00070
1774332907.107027,0.39000,-0.33000,-0.05000,23.96000,4.49100,0.00070
1774332907.107027,0.42000,-0.37000,-0.05000,23.94000,4.55380,0.00070
1774332907.107027,0.46000,-0.42000,-0.04000,23.94000,4.61670,0.00070
1774332907.107027,0.52000,-0.49000,-0.03000,23.94000,4.67950,0.00070
1774332907.107027,0.58000,-0.55000,-0.02000,23.93000,4.74230,0.00070
1774332907.107027,0.63000,-0.60000,-0.02000,23.94000,4.80520,0.00070
1774332907.107027,0.63000,-0.61000,-0.02000,23.94000,4.86800,0.00070
1774332907.107027,0.64000,-0.62000,-0.02000,23.94000,4.93080,0.00070
1774332907.107027,0.65000,-0.63000,-0.02000,23.94000,4.99360,0.00070
1774332907.107027,0.62000,-0.61000,-0.01000,23.94000,5.05650,0.00070
1774332907.125033,0.56000,-0.56000,0.00000,23.96000,5.11930,0.00070
1774332907.126036,0.47000,-0.53000,0.05000,23.94000,5.18210,0.00070
1774332907.126036,0.32000,-0.53000,0.20000,23.96000,5.24490,0.00070
1774332907.126036,0.20000,-0.53000,0.32000,23.94000,5.30780,0.00070
1774332907.126036,0.09000,-0.53000,0.43000,23.94000,5.37060,0.00070
1774332907.126036,0.05000,-0.54000,0.49000,23.94000,5.43340,0.00070
1774332907.126036,0.03000,-0.57000,0.53000,23.93000,5.49630,0.00070
1774332907.126036,0.03000,-0.59000,0.55000,23.94000,5.55910,0.00070
1774332907.126036,0.03000,-0.62000,0.59000,23.94000,5.62190,0.00070
1774332907.126036,0.03000,-0.64000,0.61000,23.94000,5.68470,0.00070
1774332907.126036,0.03000,-0.66000,0.62000,23.93000,5.74760,0.00070
1774332907.126036,0.02000,-0.66000,0.63000,23.94000,5.81040,0.00070
1774332907.126036,0.03000,-0.66000,0.63000,23.94000,5.87320,0.00070
1774332907.126036,0.01000,-0.65000,0.63000,23.93000,5.93610,0.00070
1774332907.126036,0.00000,-0.62000,0.62000,23.94000,5.99890,0.00070
1774332907.126036,0.00000,-0.60000,0.60000,23.94000,6.06170,0.00070
1774332907.163032,0.00000,-0.57000,0.57000,23.93000,6.12450,0.00070
1774332907.163032,-0.01000,-0.52000,0.53000,23.94000,6.18740,0.00070
1774332907.163032,-0.05000,-0.45000,0.50000,23.94000,6.25020,0.00070
1774332907.163032,-0.18000,-0.31000,0.50000,23.96000,0.02980,0.00070
1774332907.163032,-0.31000,-0.18000,0.49000,23.94000,0.09270,0.00070
1774332907.163032,-0.41000,-0.07000,0.49000,23.94000,0.15550,0.00070
1774332907.163032,-0.45000,-0.04000,0.50000,23.94000,0.21830,0.00070
1774332907.163032,-0.50000,-0.03000,0.53000,23.96000,0.28120,0.00070
1774332907.163032,-0.53000,-0.02000,0.55000,23.93000,0.34400,0.00070
1774332907.163032,-0.55000,-0.01000,0.56000,23.94000,0.40680,0.00070
1774332907.163032,-0.58000,0.00000,0.58000,23.94000,0.46970,0.00070
1774332907.163032,-0.57000,0.00000,0.58000,23.94000,0.53250,0.00070
1774332907.163032,-0.58000,0.00000,0.59000,23.94000,0.59530,0.00070
1774332907.163032,-0.57000,0.00000,0.57000,23.94000,0.65820,0.00070
1774332907.163032,-0.55000,0.00000,0.56000,23.94000,0.72100,0.00070
1774332907.163032,-0.54000,0.00000,0.54000,23.94000,0.78380,0.00070
1774332907.163032,-0.52000,0.00000,0.51000,23.94000,0.84670,0.00070
1774332907.163032,-0.49000,0.01000,0.47000,23.94000,0.90950,0.00070
1774332907.163032,-0.46000,0.04000,0.42000,23.94000,0.97230,0.00070
1774332907.163032,-0.46000,0.13000,0.33000,23.94000,1.03520,0.00070
1774332907.163032,-0.45000,0.23000,0.21000,23.94000,1.09800,0.00070
